Code,Common Problems That Trigger This Code
P0705,"Defective Transmission Range Sensor (PRNDL input), Defective Transmission Range Sensor (PRNDL input) wiring or connector, Defective Valve Body, Defective manual shift valve linkage, Dirty transmission fluid that restricts the hydraulic passages"
P0706,"Defective Transmission Range Sensor (PRNDL input), Defective Transmission Range Sensor (PRNDL input) wiring or connector, Defective Valve Body, Defective manual shift valve linkage, Dirty transmission fluid that restricts the hydraulic passages"
P0720,"Defective Output Speed Sensor, Defective Shift Solenoids, Defective Engine Coolant Temperature Sensor, Defective Valve Body, Dirty transmission fluid that restricts the hydraulic passages, Defective Output Speed Sensor wiring or connector"
P0730,"Defective Shift Solenoids, Defective Engine Coolant Temperature Sensor, Defective Valve Body, Dirty transmission fluid that restricts the hydraulic passages"
P0841,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue"
P0842,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue"
P0845,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue"
P0846,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue"
P0847,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission fluid pressure sensor failure, Wiring issue"
P0901,"Clutch master cylinder failure, Clutch solenoid failure, Transmission Control Module (TCM) failure"
P0935,"Hydraulic power unit assembly failure, Transmission Control Module (TCM) failure, Wiring issue"
P0942,"Hydraulic power unit assembly failure, Transmission Control Module (TCM) failure, Wiring issue"
P0944,"Clogged transmission filter, Transmission fluid level is low, Transmission oil pump failure, Wiring issue"
P0961,Transmission shift solenoid failure
P0A08,"Inverter/converter assembly failure, Powertrain Control Module (PCM) failure, Wiring issue"
P0A0D,"High voltage safety device failure, Inverter/converter assembly failure, Power management control module failure, Service disconnect plug is not properly connected, Wiring issue"
P0A0F,"Hybrid transaxle assembly failure, Internal engine failure, Power management control module failure"
P0A7F,"Poor connections at the HV battery, A problem with the HV battery, ECU issues"
P0A80,High voltage battery assembly failure
P0B22,"Battery contactor assembly failure, Battery Energy Control Module (BECM) failure"
P0B24,"Battery Energy Control Module (BECM) failure, High voltage battery assembly failure, Wiring issue"
P0B26,"Battery Energy Control Module (BECM) failure, High voltage battery assembly failure, Wiring issue"
P0B28,"Battery Energy Control Module (BECM) failure, High voltage battery assembly failure, Wiring issue"
P0B30,"Battery Energy Control Module (BECM) failure, High voltage battery assembly failure, Wiring issue"
P0C00,Drive motor generator power inverter control module failure
P0C09,"Drive motor generator assembly failure, Drive motor generator power inverter control module failure"
P0C11,"Coolant system leak, Drive motor generator power inverter control module failure, Engine cooling fan failure, Water pump failure"
P0C14,"Coolant system leak, Drive motor generator power inverter control module failure, Engine cooling fan failure, Water pump failure"
P0C15,"Coolant system leak, Drive motor generator power inverter control module failure, Engine cooling fan failure, Water pump failure"
P2000,"Diesel Particulate Filter (DPF) failure, Intake air leak, Mass Airflow (MAF) sensor is dirty/loss of calibration"
PP2002,"Diesel Particulate Filter (DPF) failure, Intake air leak, Mass Airflow (MAF) sensor is dirty/loss of calibration"
P2004,"A failed IMRC actuator, A problem with the intake manifold or linkage, Wiring issues"
P2006,"Intake manifold runner control actuator failure, Powertrain Control Module (PCM) failure, Restricted vacuum lines"
P2101,"Accelerator Pedal Position (APP) assembly failure, Powertrain Control Module (PCM) failure, Throttle control motor failure, Wiring issue"
P2122,"Accelerator Pedal Position (APP) assembly failure, Powertrain Control Module (PCM) failure, Throttle control motor failure, Wiring issue"
P2135,"Accelerator Pedal Position (APP) assembly failure, Powertrain Control Module (PCM) failure, Throttle Position Sensor (TPS) failure, Wiring issue"
P2138,"Accelerator Pedal Position (APP) assembly failure, Powertrain Control Module (PCM) failure, Throttle Position Sensor (TPS) failure, Wiring issue"
P2181,"Engine coolant heater failure, Engine coolant level is too low, Thermostat failure"
P2210,"NOx sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2213,"NOx sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2237,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2238,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2251,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2302,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2303,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2305,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2308,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2310,"Ignition coil failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2401,"Evap leak detection pump failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2402,"Evap leak detection pump failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2422,"EVAP vent valve failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2431,"Air control solenoid failure, Powertrain Control Module (PCM) failure, Secondary Air System pressure sensor failure, Wiring issue"
P2432,"Air control solenoid failure, Powertrain Control Module (PCM) failure, Secondary Air System pressure sensor failure, Wiring issue"
P2500,"Alternator failure, Battery failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2501,"Alternator failure, Battery failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2503,"Alternator failure, Battery failure, Wiring issue"
P2509,"Powertrain Control Module (PCM) failure, Powertrain Control Module (PCM) power relay failure, Wiring issue"
P250C,"Oil level sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2601,"Coolant Heat Storage (CHS) water pump failure, Coolant Heat Storage (CHS) water pump relay, Powertrain Control Module (PCM) failure, Wiring issue"
P2607,"Intake air heater, Powertrain Control Module (PCM) failure, Wiring issue"
P2609,"Intake air heater, Powertrain Control Module (PCM) failure, Wiring issue"
P2610,"An internal PCM problem, A problem with the PCM power or ground circuit"
P2614,"Broken tone ring, Camshaft Position Sensor (CMP) failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2706,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission shift solenoid failure, Wiring issue"
P2711,"Internal transmission failure, Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission solenoid failure, Wiring issue"
P2714,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission shift solenoid failure, Wiring issue"
P2716,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission shift solenoid failure, Wiring issue"
P2723,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission shift solenoid failure, Wiring issue"
P2803,"Powertrain Control Module (PCM) failure, Transmission Control Module (TCM) failure, Transmission range sensor failure, Wiring issue"
P2806,"Powertrain Control Module (PCM) failure, Transmission Control Module (TCM) failure, Transmission range sensor failure, Transmission range sensor is out of adjustment, Wiring issue"
P2809,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission pressure control solenoid failure, Wiring issue"
P2810,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission pressure control solenoid failure, Wiring issue"
P2815,"Transmission Control Module (TCM) failure, Transmission fluid level is low, Transmission pressure control solenoid failure, Wiring issue"
P2A00,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2A01,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2A03,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2A04,"Exhaust leak, Oxygen sensor failure, Powertrain Control Module (PCM) failure, Wiring issue"
P2BA8,"Faulty NOx Sensors, NOx Sensors harness is open or shorted, NOx Sensors circuit poor electrical connection, Fualty Diesel Particulate Filter (DPF)"
P3000,"Fuel level is too low, High voltage battery assembly failure, High voltage battery is not sufficiently charged"
P3100,High voltage powertrain control module failure
P3400,Faulty Cylinder Deactivation System/td>
P3401,"Engine oil level is too low, Powertrain Control Module (PCM) failure, Variable valve timing solenoid failure, Wiring issue"
B0081,"Wiring issues, Control module problems, A problem with the airbag"
C0040,"A faulty wheel speed sensor, A problem with the wheel speed sensor circuit, Reluctor issues, A problem with the ABS module"
U0001,"A faulty wheel speed sensor, A problem with the wheel speed sensor circuit, Reluctor issues, A problem with the ABS module"
U0073,"A faulty control module, A problem with the CAN bus"
U0100,"A faulty PCM, A problem with the control module circuit, A problem with the CAN bus"
U0107,"A dead battery, A faulty TAC module, A problem with TAC module circuit, A problem with the CAN bus"
U0121,"A dead battery, A faulty ABS module, A problem with ABS module circuit, A problem with the CAN bus"
